name,url
Czaplinek,https://czaplinek.bip.net.pl/
Obsza,https://ugobsza.bip.lubelskie.pl/
Będzino,https://bip.bedzino.pl/
Gostyń,https://biuletyn.gostyn.pl
Trzebielino,https://bip.trzebielino.pl/
Nowy Dwór Gdański,https://bip.miastonowydwor.pl/
Dołhobyczów,https://ugdolhobyczow.bip.lubelskie.pl/
Czarne,https://gminaczarna.biuletyn.net
Debrzno,https://bip.debrzno.pl/
Szczaniec,https://bip.szczaniec.pl/
Głowno,https://www.bip.gmina-glowno.pl/
Świebodzin,https://bip.swiebodzin.eu
Oleszyce,https://bip.oleszyce.pl/
Granowo,https://www.granowo.pl/asp/start,0
Kętrzyn,https://bip.gminaketrzyn.pl/
Sulechów,https://www.bip.sulechow.pl/
Nowogard,https://bip.nowogard.pl/
Jarocin,https://www.bip.powiat-jarocinski.pl/
Korfantów,https://bip.korfantow.pl/
Lichnowy,https://www.lichnowy.pl/asp/start,0
Srokowo,https://bip.gminasrokowo.pl/
Miłoradz,https://miloradz.biuletyn.net
Choszczno,https://bip.choszczno.pl/
Ostaszewo,https://ugostaszewo.ssdip.bip.gov.pl/
Lewin Brzeski,https://bip.lewin-brzeski.pl/
Żagań,https://bip.gminazagan.pl/
Przelewice,https://bip.przelewice.pl/
Ścinawa,https://bip.scinawa.pl/
Barciany,https://bip.barciany.pl/
Wałcz,https://bip.gminawalcz.pl/
Marcinowice,https://marcinowice.biuletyn.net
Kondratowice,https://kondratowice.biuletyn.net
Wiązów,https://bip.wiazow.madkom.pl/
Dmosin,https://bip.dmosin.pl/
Bojanowo,https://www.gminabojanowo.pl/asp/pl_start.asp?typ=13&menu=9&strona=1&sub=8
Stryków,https://bip.strykow.pl/
Borek Wielkopolski, https://bip.borekwlkp.pl/
Oława,https://bip.gminaolawa.pl/
Kamieniec,https://bip3.wokiss.pl/kamieniec/
Brzeźnica, https://bip.brzeznica.com.pl/
Jaworzyna Śląska, https://bip.jaworzyna.net/
Borów, https://bip.gwborow.finn.pl/
Ulhówek, https://ugulhowek.bip.lubelskie.pl/?id=6
Pępowo, https://bip.pepowo.pl/
Domaniów, https://bip.gminadomaniow.pl/
Bojanowo, https://gminabojanowo.biuletyn.net/
Mściwojów, https://bip.msciwojow.pl/
Biała, https://bip.biala.gmina.pl/
Jarczów, https://ugjarczow.bip.lubelskie.pl/?id=6
Żarów, https://bip.um.zarow.pl/
Żarów, https://www.um.zarow.pl/aktualnosci/
Kobylin, https://kobylin.bip.net.pl/
Szydłowo, https://bip.szydlowo.pl/
Strzegom, https://bip.strzegom.pl/public/
Olszanka Brzeska, https://www.bip.olszanka.pl/7/354/biuletyn-informacji-publicznej.html
Księżpol, https://ugksiezpol.bip.lubelskie.pl/?id=6
Markowa, https://markowa.biuletyn.net/
Złotoryja, https://zlotoryja.bip.info.pl/index



